name,weight_units,weight_max,price_min,price_max,count_max
Tiburón,lbs,50.0,15.0,25.0,
Nemipterus furcosus,kg,70.0,15000.0,50000.0,1000.0
Etelis carbunculus,kg,15.0,8000.0,15000.0,30.0
Epinephelus amblycephalus,kg,40.0,25000.0,40000.0,30.0
Sargocentron diadema,kg,15.0,20000.0,30000.0,48.0
Plicofollis dussumieri,kg,10.0,10000.0,30000.0,30.0
Sardinella gibbosa,kg,25.0,5000.0,20000.0,80.0
danngit,kg,60.0,80.0,160.0,13.0
5,kg,35.0,60.0,190.0,
Pusit,kg,100.0,80.0,180.0,
galonggong,kg,25.0,70.0,90.0,450.0
gangis-small,kg,2.0,200.0,300.0,5.0
mamsa,kg,5.0,200.0,300.0,20.0
masa,kg,5.0,200.0,300.0,20.0
Blanco/Culila,lbs,300.0,15.0,25.0,
Epinephelus quoyanus,kg,10.0,30000.0,40000.0,30.0
Caranx papuensis,kg,20.0,10000.0,30000.0,30.0
Scarus dimidiatus,kg,10.0,10000.0,20000.0,250.0
Istiompax indica,kg,150.0,25000.0,100000.0,50.0
gurayan,kg,110.0,40.0,300.0,1500.0
panit,kg,90.0,100.0,200.0,800.0
tangigue,kg,130.0,50.0,400.0,800.0
Macarela,lbs,30.0,20.0,50.0,10.0
Blanco,lbs,200.0,20.0,25.0,
Camarones,lbs,200.0,80.0,150.0,
Sabalo,lbs,70.0,25.0,35.0,
mutton snapper,kg,300.0,25.0,35.0,
Monotaxis grandoculis,kg,15.0,20000.0,25000.0,30.0
Epinephelus fasciatus,kg,20.0,20000.0,50000.0,72.0
Epinephelus spilotoceps,kg,10.0,15000.0,30000.0,30.0
Atule mate,kg,75.0,15000.0,30000.0,100.0
Siganus punctatissimus,kg,10.0,20000.0,30000.0,30.0
Planiliza subviridis,kg,15.0,2000.0,60000.0,35.0
MERO,lbs,200.0,30.0,60.0,
Seriola rivoliana,kg,10.0,35000.0,50000.0,30.0
Lutjanus monostigma,kg,15.0,20000.0,25000.0,30.0
Caranx sexfasciatus,kg,10.0,10000.0,20000.0,30.0
Myripristis violacea,kg,15.0,10000.0,20000.0,93.0
Paracaesio xanthura,kg,10.0,10000.0,30000.0,30.0
Priacanthus hamrur,kg,15.0,10000.0,15000.0,30.0
Cetoscarus bicolor,kg,10.0,15000.0,30000.0,30.0
Carangoides gymnostethus,kg,10.0,15000.0,30000.0,30.0
Pterocaesio tile,kg,10.0,10000.0,20000.0,50.0
Lutjanus fulvus,kg,15.0,20000.0,25000.0,30.0
Balistoides viridescens,kg,10.0,10000.0,20000.0,30.0
aloy,kg,150.0,100.0,130.0,
Aprion virescens,kg,30.0,10000.0,20000.0,30.0
Acanthocybium solandri,kg,200.0,15000.0,50000.0,100.0
Rock Hind,lbs,500.0,1.0,1000.0,500.0
Nkhampa,kg,,120.0,,
Megalaspis cordyla,kg,50.0,15000.0,50000.0,100.0
Sphyraena putnamae,kg,25.0,10000.0,30000.0,30.0
